County,Waste_Type,Operatio_ Type,Permit_ID,Permit_Name,Status,Contact,Telephone,Address1,Address2,Address3,City,Sate,Zip
Davidson,LCID,LF,2909-LCID-2013,"Veach Landfill, L.L.C.",Active,Mr. Micheal Phillips,(336) 462-3643,4261 Old Thomasville Rd,,,Winston-Salem,NC,27107
Duplin,LCID,LF,31B-LCID-2000,Duplin County LCID Landfill,Active,Mrs. Joy Pickett,(910) 289-3091,325 Landfill Road,,,Rose Hill,NC,28458
Durham,LCID,LF,32F-LCID-,Fogleman and Fogleman Landfill & Recycling Facility,Active,Mrs. Tina Edwards,(919) 933-2101,4005 Intermere Rd,,,Durham,NC,27704-0000
Durham,LCID,LF,32I-LCID-2021,Coley Road Landfill & Recycling,Active,Mr. Jimmy Everett,(919) 800-9109,7044 Wildlife Trail,1810 Coley Road,,Raleigh,NC,27613
Durham,LCID,LF,32J-LCID-1999,Waste Industries- Stone Park Ct. LCID LF,Active,Mr. Donald Plessinger,(919) 557-9583,7130 New Landfill Dr,148 Stone Park Ct,,Holly Springs,NC,27540
Edgecombe,LCID,LF,33F-LCID-,Barnhill Contracting LCID Landfill,Active,Mr. Brent Caudle,(252) 823-1021,10826 NC 97,,,Rocky Mount,NC,27804
Edgecombe,LCID,LF,33G-LCID-,"Rocky Mount, City of LCID Landfill",Active,Mr. Chris Pridgen,(252) 467-4904,"331 S. Franklin St., PO Box 1180",3873 Old Battleboro Road,,Rocky Mount,NC,27802
Forsyth,LCID,TP,3419-TP-,"Lowder Recycling And Disposal, LLC",Active,Mr. Matt Alspaugh,(336) 760-0477,2810 Griffith Rd,,,Winston-Salem,NC,27103
Forsyth,LCID,TP,3422-TP-,Slater Industries Treatment and Processing Facility,Active,Mr. Joe Slater,(336) 416-6097,5330 Shallowford Road,945 Valley Stream Road,,Lewisville,NC,27023
Forsyth,LCID,Collection,3426-LCID-2020,Union Cross Land Development LCID,Active,Mr. Tanner Boyles,(336) 669-7808,7301 Watkins Ford Road,,,Kernersville,NC,27284
Forsyth,LCID,LF,34AA-LCID-,Piney Hill Acres LCID Landfill,Active,Mr. David Lawson,(336) 682-2317,2020 Piney Grove Rd,,,Kernersville,NC,27284
Franklin,LCID,LF,3505-LCID-2020,Wall Recycling,Active,Mr. Gary Getty,(919) 452-3740,2310 Garner Rd.,2095 US-1,,Raleigh,NC,27610
Gaston,LCID,LF,36A-LCID-2010,Old 27 LCID Landfill,Active,Mr. Dwayne McCorkle,(704) 718-6386,PO Box 414,126 Tate St.,,Mt. Holly,NC,28120
Guilford,LCID,LF,41I-LCID-,"Winfree Road Landfill, Inc.",Active,Mr. Tim Friddle,(336) 643-3791,7965 Winfree Rd,,,Summerfield,NC,27358
Guilford,LCID,LF,41J-LCID-2010,"Heritage Farm Properties, LLC LCID Landfill",Active,Mr. Gary Swing,(336) 681-3300,2124 Scalesville Road,,,Summerfield,NC,27358
Guilford,LCID,LF,41O-LCID-,Doggett Construction Company,Active,Mr. Gary Swing,(336) 681-3300,2124 Scalesville Road,,,Summerfield,NC,27358
Guilford,LCID,LF,41P-LCID-,Fryar Grading and Hauling LCID Landfill,Active,Mr. Robert Fryar,(133) 638-2746,PO Box 220,5233 Mcleansville Rd.,,Mcleansville,NC,27301
Guilford,LCID,LF,41R-LCID-2011,Viewmont Sandrock Mine And Landfill,Active,Mr. Jay Nivens,(704) 409-1475,8701 Red Oak Blvd. Suite 540,4052 Viewmont Road,,Charlotte,NC,28217
Guilford,LCID,LF,41S-LCID-,"D & D Grading, Inc.",Active,Mr. David Dick,(336) 621-4021,1477 Rankin Mill Road,4111 Rankin Mill Road,,Greensboro,NC,27301
Halifax,LCID,LF,42A-LCID-,Roanoke Valley LCID Landfill,Active,Mr. Benjamin Rightmyer,(252) 537-3223,497 Hwy 48,2055 Hwy 301,,Roanoke Rapids,NC,27870
Harnett,LCID,LF,4302-LCID-,Harnett County-Dunn/Erwin LCID Landfill,Active,Mr. Chad Beane,(910) 814-6156,PO Box 2773,449 Daniels Road,,Lillington,NC,27546
Harnett,LCID,LF,43C-LCID-,Blaylock Grading LCID Landfill,Active,Mr. Harold Blaylock,(910) 818-8398,345 Caulton Brown Rd.,1025 Claude White Rd.,,Lillington,NC,27546
Harnett,LCID,LF,43D-LCID-,Bryant Grading LCID Landfill,Active,Mrs. Peggy Bryant,(919) 552-3420,305 Spence Mill Road,,,Fuquay Varina,NC,27526
Harnett,LCID,LF,43E-LCID-,McArtan Mine LCID Landfill,Active,Mr. Steve Waters,(910) 978-2412,P. O. Box 35376,"SR 2027, Josey Williams Rd.",,Fayetteville,NC,28303
Harnett,LCID,LF,43F-LCID-2010,Weeks Sandpit #2 LCID,Active,Mr. Jeff Lees,(919) 499-4272,PO Box 540,20710 NC Hwy 24/27,,Cameron,NC,28326
Henderson,LCID,TP,4507-TP-,Riverside Stump Dump at Mills River,Active,Mrs. Clara Ray,(828) 258-7339,620 Riverside Drive,5055 Old Haywood Road,,Asheville,NC,28801
Hoke,LCID,LF,4703-LCID-2020,401 Sand Company LCID Site,Active,Mr. Duncan Parker,(910) 476-4571,P.O. 122,3169 Doc Brown Rd.,,Raeford,NC,28376
Hoke,LCID,LF,47A-LCID-1996,Hoke County LCID Landfill,Active,Ms. April King,(910) 635-1982,PO Box 179,700 CC Steele Rd,,Raeford,NC,28376
Johnston,LCID,TP,5106-TP-2019,West Farms Wood Products T&P,Active,Ms. Amber Parnell,(919) 207-2539,1683 Barefoot Road,,,Newton Grove,NC,28366
Lenoir,LCID,LF,5410-LCID-2016,Everett's LCID Pit,Active,Mr. Lynn Everett,(252) 560-3356,2402 Fred Everett Rd,,,Kinston,NC,28504
Mecklenburg,LCID,TP,6021-TP-,Metromont Natural Recycling Center,Active,Mrs. Beverly Brewer,(704) 399-5500,3733 Kidd Lane,10050 Metromont Industrial Blvd,,Charlotte,NC,28216
Mecklenburg,LCID,TP,6025-TP-,"Soil Supply, Inc.",Active,Mr. Gary Stinson,(704) 875-3774,10219 Hagers Rd,,,Huntersville,NC,28070
Mecklenburg,LCID,TP,6034-TP-2016,"Kamps, Inc.",Active,Mr. Curtis Brushman,(616) 560-5678,5104 N Graham Street,,,Charlotte,NC,28269
Mecklenburg,LCID,LF,60AM-LCID-,Ronald J. Brewer,Active,Mrs. Beverly Brewer,(704) 399-5500,3733 Kidd Lane,3015 Kelly Road,,Charlotte,NC,28216
Mecklenburg,LCID,LF,60AN-LCID,"Metrolina Greenhouses, Inc.",Active,Mr. Robert Hilton,(980) 229-0848,16400 Huntersville Concord Rd,,,Huntersville,NC,28078
Mecklenburg,LCID,LF,60AX-LCID-,Lakeview Road Landfill Inc,Active,Mr. Larry Swaringen,(704) 393-1778,4705 Lakeview Road,4627 Lakeview Road,,Charlotte,NC,28216
Mecklenburg,LCID,LF,60Q-LCID-,Piedmont Grading & Wrecking,Active,Mr. Larry Kerr,(704) 622-1388,3652 Beatties Ford Rd,,,Charlotte,NC,28216
Mecklenburg,LCID,LF,60S-LCID-,Kenneth C. Reeves,Active,Mr. Kenneth Reeves,(704) 548-8377,PO Box 480053,2323 Salome Church Road,,Charlotte,NC,28269
Nash,LCID,LF,6403-LCID-2020,Nash County LCID,Active,Mr. Ben Barnes,(252) 459-9899,PO Box 849,3057 Duke Rd,,Nashville,NC,27856
New Hanover,LCID,TP,6511-TP-,American Property Experts,Active,Mrs. Ayesha Waggaman,(910) 793-1460,606 Sunnyvale Drive,,,Wilmington,NC,28412
Onslow,LCID,LF,6705-LCID-1991,Onslow County Landfill LCID Unit,Active,Mr. Randall Vanover,(910) 989-2107,415 Meadowview Road,,,Jacksonville,NC,28540
Onslow,LCID,LF,6713-LCID-2021,Blackjack LCID,Active,Kirk Page,(252) 393-6101,321 Belgrade-Swansboro Road,,,Stella,NC,28582
Onslow,LCID,LF,67A-LCID-,Morton Trucking Site,Active,Mr. Tim Morton,(910) 548-0194,121 Garnet Lane,,,Jacksonville,NC,28546
Onslow,LCID,LF,67C-LCID-,Eastern Excavating Landfill,Active,Mr. Terry Williams,(910) 353-9100,115 Ned Ln,,,Swansboro,NC,28584
Onslow,LCID,LF,67D-LCID-,Haugen Landfill,Active,Mr. Mark Haugen,(910) 324-8025,287 Wagonwheel Lane,3062 Burgaw Hwy.,,Richlands,NC,28574-8256
Onslow,LCID,LF,67E-LCID-,Parker Meadow LCID LF,Active,Mr. Joey Humphrey,(910) 346-4727,Jim Parker Road,1124 Clayton Humphrey Road,,Jacksonville,NC,28546
Onslow,LCID,LF,67F-LCID-2012,Rocky Run Inert Debris,Active,Mr. George Morton,(910) 330-5776,628 Grants Creek,3121 New Bern Highway,,Jacksonville,NC,28546
Pender,LCID,LF,71A-LCID-,Wilmington Compost Company,Active,Mr. Riley Alber,(910) 660-9117,1800 Eastwood Road #232,7336 Hwy 210,,Wilmington,NC,28403
Person,LCID,LF,73D-LCID-2002,Duke Energy Progress - Roxboro,Active,Mrs. Kim Witt,(336) 215-4576,526 South Church Street,1700 Dunnaway Rd.,,Charlotte,NC,28202
Pitt,LCID,LF,74C-LCID-,E. R. Lewis Construction,Active,Mr. Curt Williford,(252) 321-1101,100 Arlington Blvd,1462 Edwards Farm Road,,Greenville,NC,27835
Pitt,LCID,LF,74D-LCID-,E. R. Lewis,Active,Mr. Curt Williford,(252) 321-1101,100 ARLINGTON BLVD,,,Greenville,NC,27835
Richmond,LCID,LF,77A-LCID-1981,"Hamlet, City Of",Active,Mr. William Stubbs,(910) 582-7987,PO Box 1229,1000 Oakhurst Ave.,,Hamlet,NC,28345
Robeson,LCID,LF,78J-LCID-1990,"Lumberton, City of LCID Landfill",Active,Mr. Robert Armstrong,(910) 671-3851,215 South Cedar Street,,,Lumberton,NC,28359
Surry,LCID,LF,8606-LCID-2020,Surry County LCID Facility,Active,Mrs. Jessica Montgomery,(336) 401-8375,PO Box 342,237 Landfill Road,,Dobson,NC,27017
Swain,LCID,LF,87A-LCID-,Swain County LCID,Active,Mr. Jerry Jenkins,(828) 735-2921,"1422 Hwy 19 South, PO Box 2321",,,Bryson City,NC,28713
Transylvania,LCID,LF,8807-LCID-1988,Transylvania County LCID,Active,Mr. Kenn Webb,(828) 884-1842,500 Howell Rd,,,Brevard,NC,28712
Union,LCID,LF,9013-LCID-,Griffin Farm LCID Landfill,Active,Mr. Richard Griffin,(704) 361-7791,3322 Old Camden Rd,4242 Morgan Mill Rd,,Monroe,NC,28110
Wake,LCID,LF,9223-LCID-2010,Buffaloe LCID Landfill & Wood Recycling Facility,Active,Mr. Tommy Williams,(919) 772-4166,5525 Wake Academy Drive,,,Raleigh,NC,27603
Wake,LCID,TP,9223TP-TP-,Buffaloe Wood Recycling Facility,Active,Mr. Tommy Williams,(919) 772-4166,5525 Wake Academy Drive,,,Raleigh,NC,27603
Wake,LCID,LF,92M-LCID-,Wall Recycling LCID Landfill,Active,Mr. Dan Jarboe,(919) 906-2747,2310 Garner Rd.,3000 Gresham Lake Rd.,,Raleigh,NC,27610
Wake,LCID,LF,92V-LCID-,Carolina Tree Debris,Active,Mr. Thomas Butler,(919) 261-0590,1417 Old Watkins Rd,,,Raleigh,NC,27616
Watauga,LCID,TP,9502-LCID-2016,Watauga County Landclearing,Active,Mr. Rex Buck,(828) 264-5305,336 Landfill Road,,,Boone,NC,28607
Guilford,MatRecovery,TP,4116-MWP-2012,High Point C&D Waste Reclamation,Active,Mr. Seth Heath,(336) 668-3712,1236 Elon Place,5830 Riverdale Dr,,High Point,NC,27263
Haywood,MatRecovery,TP,4408-MWP-,Haywood County MWP Facility,Active,Mr. Lester Harris,(828) 627-8042,278 Recycle Road,,,Clyde,NC,28721
Alamance,Medical,Incin,0102-INCIN-M-,"Stericycle, Inc.",Active,Mr. Kirk Yarbourgh,(336) 380-7440,1168 Porter Ave,,,Haw River,NC,27258
Cabarrus,Medical,TP,1305TP-TP-,Stericycle,Active,Mr. Jason Williams,(502) 492-9044,4403 Republic Court,,,Concord,NC,28027
Gaston,Medical,TP,3615-TP-2018,Trilogy MedWaste Southeast LLC,Active,Mr. Jerry Norris,(704) 503-8134,148 Boxwood Lane,,,Gastonia,NC,28054
Gaston,Medical,TP,3617-MWP-2016,"Daniels Sharpsmart, Inc.",Active,Mr. Daniel Weaver,(704) 842-7103,111 W. Jackson Blvd. Suite 1900,1851 Chespark Dr.,,Chicago,IL,60604
Alamance,MSW,LF,0104-MSWLF-1994,Alamance County Austin Quarter Road Landfill Facility,Active,Mr. Richard Hill,(336) 376-0411,2701 Austin Quarter Road,,,Graham,NC,27253
Alexander,MSW,Trans,0202T-TRANSFER-1998,Alexander County Transfer Station,Active,Mr. Josh Mitchell,(828) 632-1101,2500 Paynes Dairy Rd,,,Taylorsville,NC,28681
Alleghany,MSW,Trans,0303T-TRANSFER-1994,Alleghany County Transfer Facility,Active,Mr. David Spicer,(336) 657-0769,PO Box 366,431 Osborne Road,,Sparta,NC,28675
Anson,MSW,LF,0403-MSWLF-2010,"Chambers Development of North Carolina, Inc. (Anson Landfill)",Active,Mr. J. Tyler Fitzgerald,(704) 690-3240,375 Dozer Drive,,,Polkton,NC,28135
Ashe,MSW,LF,0501-MSWLF-1993,Ashe County Landfill,Active,Mr. Scott Hurley,(336) 846-3721,PO Box 1327,739 Fred Pugh Road,,West Jefferson,NC,28694
Avery,MSW,Trans,0603-TRANSFER-,Avery County Transfer Station,Active,Mr. William Foster,(828) 737-5420,PO Box 640,2175 Brushy Creek Rd,,Newland,NC,28657
Beaufort,MSW,Trans,0703T-TRANSFER-2012,Beaufort Transfer Station,Active,Mr. Nicky Hopkins,(252) 644-3207,500 Flander Filter Road,,,Washington,NC,27889
Bertie,MSW,LF,0803-MSWLF-1993,East Carolina Environmental Regional Landfill,Active,Mr. Carldelle Patrick,(252) 584-0026,1922 Republican Road,,,Aulander,NC,27805
Bladen,MSW,Trans,0904T-TRANSFER-1995,Bladen County Transfer Station,Active,Mr. Kip Mcclary,(910) 872-6320,1522 Mercer Mill Road,,,Elizabethtown,NC,28337
Brunswick,MSW,Trans,1010T-TRANSFER-1997,Brunswick County Transfer Station,Active,Mr. Jeremy Baker,(910) 253-6314,PO Box 249,172 Landfill Rd NE,,Bolivia,NC,28422
Buncombe,MSW,Trans,1104-TRANSFER-1993,Waste Management Of Asheville,Active,Mr. James Harris,(828) 551-0037,24 Pond Rd,,,Asheville,NC,28806
Buncombe,MSW,LF,1107-MSWLF-1996,Buncombe County MSW Landfill,Active,Mr. Dane Pedersen,(828) 250-5460,81 Panther Branch Road,,,Alexander,NC,28701
Buncombe,MSW,Trans,1108T-TRANSFER-1996,Buncombe County Transfer Station,Active,Mr. Dane Pedersen,(828) 250-5460,190 Hominy Creek Road,,,Asheville,NC,28806
Burke,MSW,Trans,1205T-TRANSFER-1998,Burke County Transfer Facility,Active,Mr. Mark Delehant,(828) 764-9064,PO Box 1486,2500 Marsh Trail,,Morganton,NC,28680-1486
Cabarrus,MSW,LF,1304-MSWLF-1992,BFI-Charlotte Mtr Speedway Landfill V,Active,Mr. Timothy Ginn,(480) 459-7339,5105 Morehead Rd,,,Concord,NC,28027
Caldwell,MSW,LF,1403-MSWLF-1998,Foothills Environmental Landfill,Active,Mr. Stephen Hunter,(828) 394-3133,2800 Cheraw Road,,,Lenoir,NC,28645
Carteret,MSW,Trans,1604-TRANSFER-1993,CRSWMA-Carteret County Transfer Station,Active,Mr. Bobby Darden,(252) 633-1564,PO Box 128,800 Hibbs Road,,Cove City,NC,28523
Catawba,MSW,LF,1803-MSWLF-1997,Blackburn Resource Recovery Landfill Facility,Active,Mr. Rodney Hamby,(704) 462-1348,PO Box 389,3993 Rocky Ford Road,,Newton,NC,28658
Catawba,MSW,Trans,1805-TRANSFER-2001,GDS Recycling Services,Active,Ms. LaDonna Bolton,(828) 419-3031,"130 Somerset Drive, NW",,,Conover,NC,28613
Catawba,MSW,Trans,1808T-TRANSFER-,"Hickory, City of Transfer Station",Active,Mr. Andrew Ballentine,(828) 323-7439,PO Box 398,1050 1st Ave Sw,,Hickory,NC,28601
Chatham,MSW,Trans,1903T-TRANSFER-1993,Waste Man. - Chatham Co Transfer Station,Active,Mr. Steve Tyson,(919) 776-7800,2720 Wilkins Dr,361 Waste Treatment Plant Rd,,Sanford,NC,27330
Cherokee,MSW,LF,2002-MSWLF-1998,Cherokee County MSW Facility,Active,Mr. ROBERT WARD,(828) 837-2621,1160 US 19,,,Marble,NC,28905
Cherokee,MSW,Trans,2003-TRANSFER-2020,Regional Disposal and Metal,Active,Mr. Jacob Anderson,(828) 837-5865,PO Box 1029,9275 US 19,,Murphy,NC,28906
Chowan,MSW,Trans,2101T-TRANSFER-2001,"Edenton, Town of Transfer Station",Active,Mr. Corey Gooden,(252) 482-4111,PO Box 300,118 W Hicks Street,,Edenton,NC,27932
Clay,MSW,Trans,2202T-TRANSFER-1997,Clay County Transfer Station,Active,Mr. Kevin Shaheen,(828) 389-9133,Hinton Center Rd.,,,Hayesville,NC,28904
Cleveland,MSW,LF,2301-MSWLF-2009,Cleveland County Landfill Self-McNeilly,Active,Mr. Josh Davis,(704) 447-8204,311 E. Marion St,250 Fielding Rd,,Shelby,NC,28150
Columbus,MSW,Trans,2403T-TRANSFER-1997,Columbus County Transfer Station,Active,Mrs. Amanda Davis,(910) 234-1417,612 North Madison Street,107 Landfill Road,,Whiteville,NC,28472
Craven,MSW,LF,2509-MSWLF-1999,CRSWMA - Long Term Regional Landfill,Active,Mr. Bobby Darden,(252) 633-1564,PO Box 128,7400 Old Highway 70 West,,Cove City,NC,28523
Craven,MSW,Trans,2510T-TRANSFER-1997,Cherry Point Transfer Station,Active,Mr. Nathan Arnett,(252) 466-5271,Building 4223,,,Cherry Point,NC,28533-0006
Cumberland,MSW,LF,2601-MSWLF-1997,Cumberland County Landfill,Active,Ms. Amanda Bader,(910) 438-4041,698 Ann Street,,,Fayetteville,NC,28301
Cumberland,MSW,Trans,2609-TRANSFER-,"Fayetteville, City of Transfer Station",Active,Mr. Leroy Hatmaker,(910) 237-2825,4621 Marracco Drive,583 Winslow Street,,Hope Mills,NC,28348
Currituck,MSW,Trans,2703T-TRANSFER-1996,Currituck Transfer Station,Active,Mrs. Rachael Anderson,(252) 232-2504,153 Courthouse Road Suite 302,,,Currituck,NC,27929
Dare,MSW,Trans,2805T-TRANSFER-,Dare County Transfer Station,Active,Mr. Douglas Huff,(252) 475-5843,PO Box 1000,1603 Cub Rd,,Manteo,NC,27954
Davidson,MSW,LF,2906-MSWLF-2008,Davidson County MSW Lined Landfill,Active,Mr. Charlie Brushwood,(336) 240-0303,1242 Old Hwy 29,1160 Old Hwy 29,,Thomasville,NC,27293
Duplin,MSW,Trans,3103-TRANSFER-2007,Duplin County Transfer Station,Active,Mr. Derrel Whaley,(910) 289-3091,325 Landfill Road,,,Rose Hill,NC,28458
Durham,MSW,Trans,3212-TRANSFER-2014,"Durham, City of Transfer Station",Active,Mr. Dan Parker,(919) 560-4186,1833 Camden Avenue,2115 E. Club Blvd,,Durham,NC,27704
Durham,MSW,Trans,3214T-TRANSFER-2001,Stone Park Court Transfer Station,Active,Mr. William Davidson,(919) 596-1363,148 Stone Park Ct.,210 Stone Park Ct.,,Durham,NC,27703
Edgecombe,MSW,Trans,3302T-TRANSFER-1998,Edgecombe County Transfer Station,Active,Ms. Gloria Moseley,(252) 827-4253,PO Box 10,2872 Colonial Road,,Tarboro,NC,27886
Forsyth,MSW,LF,3402-MSWLF-1997,Hanes Mill Road Landfill,Active,Mrs. Janis McHargue,(336) 747-7310,325 West Hanes Mill Road,,,Winston-Salem,NC,27105
Forsyth,MSW,Trans,3416T-TRANSFER-,Overdale Road Transfer Station,Active,Ms. Catherine Hernandez,(336) 391-8085,2875 Lowery St,,,Winston-Salem,NC,27101
Franklin,MSW,Trans,3503-TRANSFER-,Franklin County Transfer Station,Active,"Mr. W. Lee Bodenhamer, Iii",(919) 340-4670,113 Market Street,5 Landfill Road,,Louisburg,NC,27549
Gaston,MSW,LF,3606-MSWLF-1997,Gaston County Landfill,Active,Mr. Ray Maxwell,(704) 862-7504,3155 Philadelphia Church Road,,,Dallas,NC,28034
Gaston,MSW,Trans,3608-TRANSFER-1993,Waste Management Of Carolinas,Active,Mr. Dustin Maxwell,(704) 869-7663,2712 Lowell Rd,,,Gastonia,NC,28054
Graham,MSW,Trans,3803-TRANSFER-,Graham County Transfer Station,Active,Mr. Gavin Colvard,(828) 479-9369,12th North Main Street,400 Snowbird Rd.,,Robbinsville,NC,28771
Granville,MSW,LF,3901-MSWLF-2012,Oxford Subtitle D MSWLF,Active,Mr. Jason Falls,(919) 691-0928,PO Box 906,6595 Landfill Road,,Oxford,NC,27565
Guilford,MSW,LF,4104-MSWLF-1991,"High Point, City of MSW Landfill",Active,Mr. Mike Spencer,(336) 688-3454,PO Box 230,3940 Kivett Dr,,High Point,NC,27260
Guilford,MSW,LF,4112-MSWLF-1997,"Greensboro, City of White Street Landfill",Active,Mr. Richard Lovett,(336) 373-4188,2503 White Street,,,Greensboro,NC,27405
Guilford,MSW,Trans,4118T-TRANSFER-,Bishop Road Transfer Station,Active,Mr. Jason Preston,(336) 230-4829,2140 Bishop Rd,,,Greensboro,NC,27406
Guilford,MSW,Trans,4120T-TRANSFER-,"Greensboro, City of Transfer Station",Active,Mr. Richard Lovett,(336) 373-4188,6310 Burnt Poplar Rd,,,Greensboro,NC,27409
Halifax,MSW,Trans,4204-TRANSFER-2013,Halifax County Landfill,Active,Mr. Greg Griffin,(252) 583-1451,PO Box 70,921 Liles Rd.,,Halifax,NC,27939
Halifax,MSW,Trans,4205T-TRANSFER-1997,"Weldon, Town of Transfer Facility",Active,Mr. Randy Deming,(260) 579-1861,2211 Hwy 301 N,,,Halifax,NC,27839
Harnett,MSW,Trans,4307T-TRANSFER-1997,Harnett County Transfer Station,Active,Mr. Chad Beane,(910) 814-6004,449 Daniels Rd.,,,Dunn,NC,28334
Harnett,MSW,Trans,4309T-TRANSFER-,Anderson Creek Landfill Transfer Station,Active,Mr. Chad Beane,(910) 814-6004,PO Box 2773,1086 Poplar Drive,,Lillington,NC,27546
Haywood,MSW,LF,4407-MSWLF-1993,Haywood Co White Oak Landfill,Active,Mr. John Preston,(423) 650-3095,3898 Fines Creek Rd,,,Waynesville,NC,28785
Henderson,MSW,Trans,4504T-TRANSFER-1998,Henderson County Transfer Facility,Active,Mr. Greg Wiggins,(828) 388-8377,191 Transfer Station Drive,,,Hendersonville,NC,28791
Hertford,MSW,Trans,4602T-TRANSFER-1995,Hertford County Transfer Station,Active,Mrs. Judy Baker,(252) 642-3170,227 Mt. Moriah Road,,,Ahoskie,NC,27910
Hoke,MSW,Trans,4702-TRANSFER-1994,Hoke County Transfer Station,Active,Ms. April King,(910) 705-2514,700 C.C. Steele Rd,,,Raeford,NC,28376
Iredell,MSW,LF,4903-MSWLF-1993,Iredell County Sanitary LF,Active,Mr. Teddy Boller,(704) 878-5430,354 Twin Oaks Road,,,Statesville,NC,28625
Iredell,MSW,Trans,4904T-TRANSFER-1998,Iredell County Transfer Station,Active,Mr. Teddy Boller,(704) 878-5430,354 Twin Oaks Road,158 McLeod Drive,,Statesville,NC,28625
Jackson,MSW,Trans,5003T-TRANSFER-,Jackson County Scott Creek Transfer Station,Active,Mr. Chad Parker,(828) 586-2437,401 Grindstaff Cove Road,48 Recycle Place,,Sylva,NC,28779
Johnston,MSW,LF,5103-MSWLF-,Johnston County MSW Landfill,Active,,(919) 938-4750,680 County Home Road,,,Smithfield,NC,27577
Johnston,MSW,LF,5103-MSWLF-1997,Johnston County Landfill,Active,Mr. Rick Proctor,(919) 938-4750,PO Box 2263,680 County Home Road,,Smithfield,NC,27577
Lee,MSW,Trans,5304T-TRANSFER-1993,Waste Man. - Lee Co. Transfer Station,Active,Mrs. Frankie Durham,(919) 777-5070,2720 Wilkins Dr,,,Sanford,NC,27330
Lee,MSW,Trans,5305-TRANSFER-2013,Sanford Transfer Station,Active,Mr. Leroy Hatmaker,(910) 237-2825,4621 Marracco Drive,4621 McDonald Drive,,Hope Mills,NC,28348
Lenoir,MSW,Trans,5405T-TRANSFER-1998,Lenoir County Transfer Facility,Active,Ms. Kim Hill,(252) 566-4194,2949 Hodges Farm Road,,,La Grange,NC,28551
Lenoir,MSW,Trans,5408-TRANSFER-2014,Deep Run Transfer Station,Active,Mr. Travis Pope,(252) 903-1409,2287 Leslie R. Stroud Road,,,Kinston,NC,28504
Lenoir,MSW,LF,5409-MSWLF-,Lenoir County MSW Landfill,Active,Ms. Kim Hill,(252) 566-4194,2949 Hodges Farm Road,,,La Grange,NC,28551
Lincoln,MSW,LF,5503-MSWLF-1986,Lincoln County Landfill,Active,Mr. Mark Bivins,(704) 732-9030,5291 Shoal Road,,,Crouse,NC,28033
Macon,MSW,LF,5703-MSWLF-1992,Macon County Landfill Open,Active,Mr. CHRIS STAHL,(828) 349-2100,109 Sierra Drive,1448 Lakeside Dr,,Franklin,NC,28734
Macon,MSW,Trans,5704T-TRANSFER-2008,Highlands Transfer Station,Active,Mr. Dakota Webb,(828) 526-2073,109 Sierra Dr,1080 Rich Gap Rd.,,Franklin,NC,28734
Madison,MSW,Trans,5803T-TRANSFER-2002,Madison County Transfer,Active,Mr. Sam Lunsford,(828) 649-2311,271 Craig Rudisill,,,Marshall,NC,28753
McDowell,MSW,Trans,5602T-TRANSFER-1995,McDowell Co Transfer Facility,Active,Mr. Terry Depoyster,(828) 659-2521,3809 NC 226 South,,,Marion,NC,28752
Mecklenburg,MSW,Trans,6014-TRANSFER-2009,Queen City Transfer Station,Active,Mr. Dustin Austin,(931) 320-1380,3130 Jeff Adams Drive,,,Charlotte,NC,28206
Mecklenburg,MSW,LF,6019-MSWLF-2000,Mecklenburg County Landfill,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,17131 Lancaster Hwy,,Charlotte,NC,28208
Mecklenburg,MSW,Trans,6029-TRANSFER-2012,O'Leary Resource Recovery Center,Active,Mr. Jimmie Jones,(704) 338-6898,1928 South Boulevard Suite 310,3307 Darby Avenue,,Charlotte,NC,28203
Mecklenburg,MSW,Trans,6038-TRANSFER-2020,South Charlotte Transfer Station,Active,Mr. Dustin Janes,(931) 320-1380,5516 Rozzelles Ferry Rd,1710 Westinghouse Blvd,,Charlotte,NC,28214
Montgomery,MSW,MatRecovery,6202MRF-MWP-,Uwharrie Environmental MRF,Active,Mr. Joseph Reynolds,(910) 606-3210,500 Landfill Rd,,,Mount Gilead,NC,27306
Montgomery,MSW,LF,6204-MSWLF-1995,Uwharrie Env. Reg. Landfill,Active,Mr. Joseph Reynolds,(910) 606-3210,500 Landfill Rd,,,Mount Gilead,NC,27306
Moore,MSW,Trans,6302-TRANSFER-1994,Uwharrie Env Inc/Moore Cty Transfer Station,Active,Mr. Joseph Reynolds,(910) 606-3210,500 Landfill Rd,645 Turning Leaf Way,,Mount Gilead,NC,27306
Nash,MSW,Trans,6405T-TRANSFER-2001,"Rocky Mount, City of  Transfer Station #2",Active,Mr. Cameron Privott,(252) 467-4656,Box 1180,1221 Thorpe Rd,,Rocky Mount,NC,27802
New Hanover,MSW,LF,6504-MSWLF-1981,New Hanover County Landfill,Active,Mr. Joe Suleyman,(910) 798-4403,3002 US Hwy 421 North,5210 US Hwy 421 North,,Wilmington,NC,28401
New Hanover,MSW,LF,6504-MSWLF-2017,New Hanover County Landfill,Active,Mr. Joe Suleyman,(910) 798-4403,3002 US Highway 421 North,,,Wilmington,NC,28401
New Hanover,MSW,Trans,6508T-TRANSFER-1993,Waste Management of Wilmington Transfer,Active,Mr. David Greer,(910) 915-9040,3920 River Rd,,,Wilmington,NC,28412
