"address","latitude","longitude","County.x","Waste_Type.x","Operatio_ Type.x","Permit_ID.x","Permit_Name.x","Status.x","Contact.x","Telephone.x","Address1.x","Address2.x","City.x","Sate.x","Zip.x","County.y","Waste_Type.y","Operatio_ Type.y","Permit_ID.y","Permit_Name.y","Status.y","Contact.y","Telephone.y","Address1.y","Address2.y","City.y","Sate.y","Zip.y"
"11710 Hwy 17 N","46.3337426","-79.4995036","Jones","CD","LF","5203-CDLF-2013","Maysville C & D","Active","Mr. Kevin Dail","(910) 284-2309","166 Center St","11710 Hwy 17 N","Jacksonville","NC","28546","Jones","CD","LF","5203-CDLF-2013","Maysville C & D","Active","Mr. Kevin Dail","(910) 284-2309","166 Center St","11710 Hwy 17 N","Jacksonville","NC","28546"
"2949 Hodges Farm Road","35.2935212529535","-77.7131171294696","Lenoir","CD","LF*","5403-CDLF-1997","Lenoir County CDLF","Active","Ms. Kim Hill","(252) 566-4194","2949 Hodges Farm Road",NA,"La Grange","NC","28551","Lenoir","CD","LF*","5403-CDLF-1997","Lenoir County CDLF","Active","Ms. Kim Hill","(252) 566-4194","2949 Hodges Farm Road",NA,"La Grange","NC","28551"
"5291 Crouse Road","35.4304291864741","-81.3538157918584","Lincoln","CD","LF","5503-CDLF-1999","Lincoln County C&D Unit","Active","Mr. Mark Bivins","(704) 736-8477","5291 Crouse Road",NA,"Crouse","NC","28033","Lincoln","CD","LF","5503-CDLF-1999","Lincoln County C&D Unit","Active","Mr. Mark Bivins","(704) 736-8477","5291 Crouse Road",NA,"Crouse","NC","28033"
"7099 Quarry Ln","41.4975411595765","-122.349142872726","Lincoln","CD","LF","5504-CDLF-1999","Lake Norman Landfill","Active","Mr. Timothy Ginn","(480) 459-7339","7099 Quarry Ln",NA,"Stanley","NC","28164","Lincoln","CD","LF","5504-CDLF-1999","Lake Norman Landfill","Active","Mr. Timothy Ginn","(480) 459-7339","7099 Quarry Ln",NA,"Stanley","NC","28164"
"271 Craig Rudisill Road","35.8091557241533","-82.7168668535212","Madison","CD","LF","5803-CDLF-1995","Madison County C&D Unit","Active","Mr. Sam Lunsford","(828) 649-2311","271 Craig Rudisill Road",NA,"Marshall","NC","28753","Madison","CD","LF","5803-CDLF-1995","Madison County C&D Unit","Active","Mr. Sam Lunsford","(828) 649-2311","271 Craig Rudisill Road",NA,"Marshall","NC","28753"
"1445 Landfill Rd","36.6974885317361","-78.3147998640076","Martin","CD","LF","5901-CDLF-1995","Martin County C&D Landfill","Active","Mr. Justin Harrison","(252) 799-6552","PO Box 668","1445 Landfill Rd","Williamston","NC","27892","Martin","CD","LF","5901-CDLF-1995","Martin County C&D Landfill","Active","Mr. Justin Harrison","(252) 799-6552","PO Box 668","1445 Landfill Rd","Williamston","NC","27892"
"15300 Holbrooks Rd","35.4018621461593","-80.8185597315413","Mecklenburg","CD","LF","6013-CDLF-1993","Greenway Waste Solutions at North Meck","Active","Mr. Roger Barnes","(704) 895-3367","15300 Holbrooks Rd","-","Huntersville","NC","28078","Mecklenburg","CD","LF","6013-CDLF-1993","Greenway Waste Solutions at North Meck","Active","Mr. Roger Barnes","(704) 895-3367","15300 Holbrooks Rd","-","Huntersville","NC","28078"
"456 Turning Leaf Way","39.3445324","-84.210353","Moore","CD","LF","6301-CDLF-1992","Moore County C&D Landfill","Active","Mr. David Lambert","(910) 947-4318","PO Box 905","456 Turning Leaf Way","Carthage","NC","28327","Moore","CD","LF","6301-CDLF-1992","Moore County C&D Landfill","Active","Mr. David Lambert","(910) 947-4318","PO Box 905","456 Turning Leaf Way","Carthage","NC","28327"
"3057 Duke Rd","32.108694752571","-90.690961240647","Nash","CD","LF","6403-CDLF-2000","Nash County C&D Landfill","Active","Mr. Ben Barnes","(252) 459-9899","PO Box 849","3057 Duke Rd","Nashville","NC","27856","Nash","CD","LF","6403-CDLF-2000","Nash County C&D Landfill","Active","Mr. Ben Barnes","(252) 459-9899","PO Box 849","3057 Duke Rd","Nashville","NC","27856"
"5210 US Highway 421 North","36.028687","-79.771259","New Hanover","CD","MatRecovery","6504-MWP-2016","New Hanover County Materials Recovery & Recycling Facility","Active","Mr. Joe Suleyman","(910) 798-4403","3002 US Highway 421 North","5210 US Highway 421 North","Wilmington","NC","28401","New Hanover","CD","MatRecovery","6504-MWP-2016","New Hanover County Materials Recovery & Recycling Facility","Active","Mr. Joe Suleyman","(910) 798-4403","3002 US Highway 421 North","5210 US Highway 421 North","Wilmington","NC","28401"
"1172 Hwy 172","38.8799363","-86.7191468","Onslow","CD","Trans","6712-TRANSFER-2016","Folkstone C&D Recycling Collection/Transfer Facility","Active","Mr. Kevin Dail","(910) 284-2309","166 Center St","1172 Hwy 172","Jacksonville","NC","28546","Onslow","CD","Trans","6712-TRANSFER-2016","Folkstone C&D Recycling Collection/Transfer Facility","Active","Mr. Kevin Dail","(910) 284-2309","166 Center St","1172 Hwy 172","Jacksonville","NC","28546"
"1207 Eubanks Road","35.9670331","-79.084874","Orange","CD","LF","6804-CDLF-2005","Orange County CDLF","Active","Mr. Robert Willias","(919) 968-2788","1207 Eubanks Road",NA,"Chapel Hill","NC","27516","Orange","CD","LF","6804-CDLF-2005","Orange County CDLF","Active","Mr. Robert Willias","(919) 968-2788","1207 Eubanks Road",NA,"Chapel Hill","NC","27516"
"983 Simpson Ditch Road","36.24292595","-76.2661300533174","Pasquotank","CD","LF","7002-CDLF-1996","Pasquotank County C&D Landfill","Active","Mr. Bradley Gardner","(252) 335-4105","983 Simpson Ditch Road",NA,"Elizabeth City","NC","27907","Pasquotank","CD","LF","7002-CDLF-1996","Pasquotank County C&D Landfill","Active","Mr. Bradley Gardner","(252) 335-4105","983 Simpson Ditch Road",NA,"Elizabeth City","NC","27907"
"3025 Landfill Road","34.6396346058985","-80.2951866000728","Pitt","CD","MatRecovery","7404-MWP-2016","Pitt County Materials Recovery & Recycling Facility","Active","Mr. John Demary","(252) 902-3355","3025 Landfill Road",NA,"Greenville","NC","27834","Pitt","CD","MatRecovery","7404-MWP-2016","Pitt County Materials Recovery & Recycling Facility","Active","Mr. John Demary","(252) 902-3355","3025 Landfill Road",NA,"Greenville","NC","27834"
"802 Recycling Lane","35.6222938662373","-77.181813661156","Pitt","CD","LF","7407-CDLF-2009","C & D Landfill Inc","Active","Mrs. April Haltigan","(252) 752-8274","802 Recycling Lane",NA,"Greenville","NC","27834","Pitt","CD","LF","7407-CDLF-2009","C & D Landfill Inc","Active","Mrs. April Haltigan","(252) 752-8274","802 Recycling Lane",NA,"Greenville","NC","27834"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Rd","34.9541491921106","-79.1925722767731","Randolph","CD","LF","7606-CDLF-2021","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Rd","Raleigh","NC","27610","Randolph","CD","LF","7606-CDLF-2021","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Rd","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","LF","7606-CDLF-2001","Wall Recycling CDLF","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Road","385 Gold Hill Road","Raleigh","NC","27610"
"385 Gold Hill Road","34.9541491921106","-79.1925722767731","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610","Randolph","CD","TP","7606-TP-2021","Wall Recycling Facility","Active","Mr. Dan Jarboe","(919) 906-2747","2310 Garner Rd","385 Gold Hill Road","Raleigh","NC","27610"
"246 Landfill Road","31.6680562243923","-88.6027679528563","Robeson","CD","LF*","7803-CDLF-1997","Robeson County CDLF","Active","Mr. Harrell Walters","(910) 865-3348","PO Box 366","246 Landfill Road","Saint Pauls","NC","28384","Robeson","CD","LF*","7803-CDLF-1997","Robeson County CDLF","Active","Mr. Harrell Walters","(910) 865-3348","PO Box 366","246 Landfill Road","Saint Pauls","NC","28384"
"656 Laurel Hill Dr.","40.0015979982298","-76.5396494546371","Rutherford","CD","LF","8103-CDLF-2002","Rutherford County C&D","Active","Mr. James Kilgo","(828) 287-6002","PO Box 1957","656 Laurel Hill Dr.","Rutherfordton","NC","28139","Rutherford","CD","LF","8103-CDLF-2002","Rutherford County C&D","Active","Mr. James Kilgo","(828) 287-6002","PO Box 1957","656 Laurel Hill Dr.","Rutherfordton","NC","28139"
"7434 Roseboro Hwy","34.9625002466301","-78.4476349557097","Sampson","CD","LF","8202-CDLF-1996","Sampson County Disposal, LLC","Active","Mr. Joseph Smith","(910) 525-4132","PO Box 640","7434 Roseboro Hwy","Roseboro","NC","28382","Sampson","CD","LF","8202-CDLF-1996","Sampson County Disposal, LLC","Active","Mr. Joseph Smith","(910) 525-4132","PO Box 640","7434 Roseboro Hwy","Roseboro","NC","28382"
"10681 Patterson Rd","35.8073808481199","-86.5847429386364","Scotland","CD","LF*","8301-CDLF-1997","Scotland County CDLF","Active","Mr. Bryant Higgins","(910) 844-9206","PO Box 489","10681 Patterson Rd","Laurinburg","NC","28353","Scotland","CD","LF*","8301-CDLF-1997","Scotland County CDLF","Active","Mr. Bryant Higgins","(910) 844-9206","PO Box 489","10681 Patterson Rd","Laurinburg","NC","28353"
"2125 Austin Chaney Road","35.032564844749","-80.4615153528004","Union","CD","LF*","9001-CDLF-1998","Union County C&D","Active","Mr. Christopher Medlin","(704) 989-1949","2125 Austin Chaney Road",NA,"Wingate","NC","28174","Union","CD","LF*","9001-CDLF-1998","Union County C&D","Active","Mr. Christopher Medlin","(704) 989-1949","2125 Austin Chaney Road",NA,"Wingate","NC","28174"
"421 Raleigh View Road","35.7464147687762","-78.6339159810057","Wake","CD","TP","9224-MWP-2012","Wake Reclamation, LLC","Active","Mr. Donald Plessinger","(919) 557-9583","421 Raleigh View Road",NA,"Raleigh","NC","27610","Wake","CD","TP","9224-MWP-2012","Wake Reclamation, LLC","Active","Mr. Donald Plessinger","(919) 557-9583","421 Raleigh View Road",NA,"Raleigh","NC","27610"
"4724 Smithfield Rd","35.731473424795","-78.440717419729","Wake","CD","LF","9226-CDLF-2020","Shotwell Landfill, Inc","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Road","4724 Smithfield Rd","Raleigh","NC","27603","Wake","CD","LF","9226-CDLF-2020","Shotwell Landfill, Inc","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Road","4724 Smithfield Rd","Raleigh","NC","27603"
"5565 Thornton Rd.","37.2115567163687","-82.8023344029162","Wake","CD","Trans","9227T-TRANSFER-2012","Thornton Road Mixed Waste Transfer and Recycling Center","Active","Mr. Karl Regali","(919) 433-0906","5111 Chin Page Rd.","5565 Thornton Rd.","Durham","NC","27703","Wake","CD","Trans","9227T-TRANSFER-2012","Thornton Road Mixed Waste Transfer and Recycling Center","Active","Mr. Karl Regali","(919) 433-0906","5111 Chin Page Rd.","5565 Thornton Rd.","Durham","NC","27703"
"7130 New Landfill Drive","35.6050488057701","-78.8971127176071","Wake","CD","LF","9228-CDLF-2001","Red Rock Disposal C&D Landfill","Active","Mr. Donald Plessinger","(919) 557-9583","7130 New Landfill Drive",NA,"Holly Springs","NC","27540","Wake","CD","LF","9228-CDLF-2001","Red Rock Disposal C&D Landfill","Active","Mr. Donald Plessinger","(919) 557-9583","7130 New Landfill Drive",NA,"Holly Springs","NC","27540"
"1506 1/2 North Salem St","33.4582358","-111.7029153","Wake","CD","Trans","9229T-TRANSFER-2020","Shotwell Transfer Station II","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Rd","1506 1/2 North Salem St","Raleigh","NC","27603","Wake","CD","Trans","9229T-TRANSFER-2020","Shotwell Transfer Station II","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Rd","1506 1/2 North Salem St","Raleigh","NC","27603"
"5940 Old Smithfield Rd","35.6845728927708","-78.8382261872035","Wake","CD","LF","9230-CDLF-2014","Greenway Waste Solutions of Apex, LLC","Active","Mr. Grant Kiser","(919) 367-2895","5940 Old Smithfield Rd",NA,"Apex","NC","27539","Wake","CD","LF","9230-CDLF-2014","Greenway Waste Solutions of Apex, LLC","Active","Mr. Grant Kiser","(919) 367-2895","5940 Old Smithfield Rd",NA,"Apex","NC","27539"
"2600 Brownfield Road","39.925703","-82.85015","Wake","CD","LF","9231-CDLF-2012","Brownfield Road C&D Landfill","Active","Mr. Donald Plessinger","(919) 557-9583","7130 New Landfill Drive","2600 Brownfield Road","Holly Springs","NC","27540","Wake","CD","LF","9231-CDLF-2012","Brownfield Road C&D Landfill","Active","Mr. Donald Plessinger","(919) 557-9583","7130 New Landfill Drive","2600 Brownfield Road","Holly Springs","NC","27540"
"9220 Durant Rd.","35.8972601959837","-78.5694723225192","Wake","CD","Trans","9234-TRANSFER-2012","Wake Transfer Station","Active","Mr. Donald Plessinger","(919) 557-9583","9220 Durant Rd.",NA,"Raleigh","NC","27616","Wake","CD","Trans","9234-TRANSFER-2012","Wake Transfer Station","Active","Mr. Donald Plessinger","(919) 557-9583","9220 Durant Rd.",NA,"Raleigh","NC","27616"
"424 Warehouse Dr","35.752249244898","-78.6317495918367","Wake","CD","Trans","9237T-TRANSFER-2020","Capitol Waste Transfer, LLC","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Rd","424 Warehouse Dr","Raleigh","NC","27603","Wake","CD","Trans","9237T-TRANSFER-2020","Capitol Waste Transfer, LLC","Active","Mr. Josh Daher","(919) 832-8234","103 Rupert Rd","424 Warehouse Dr","Raleigh","NC","27603"
"520 Pristine Water Dr.","35.7087204493464","-78.8285908015814","Wake","CD","MatRecovery","9240-MWP-2017","Elite Waste Services Pristine Water Facility","Active","Mr. Brian Kiefer","(919) 704-0312","2310 Garner Rd.","520 Pristine Water Dr.","Raleigh","NC","27610","Wake","CD","MatRecovery","9240-MWP-2017","Elite Waste Services Pristine Water Facility","Active","Mr. Brian Kiefer","(919) 704-0312","2310 Garner Rd.","520 Pristine Water Dr.","Raleigh","NC","27610"
"2126 Garner Road","43.1398108813187","-79.1511224461538","Wake","CD","MatRecovery","9242-MWP-2020","Wall Recycling - Garner Road","Active","Mr. Dustin Hill","(919) 582-7777","2310 Garner Road","2126 Garner Road","Raleigh","NC","27610","Wake","CD","MatRecovery","9242-MWP-2020","Wall Recycling - Garner Road","Active","Mr. Dustin Hill","(919) 582-7777","2310 Garner Road","2126 Garner Road","Raleigh","NC","27610"
"718 Landfill Road","31.0772421882891","-97.3096501375469","Washington","CD","LF","9404-CDLF-1996","Washington County C&D Landfill","Active","Mr. Danny Reynolds","(252) 793-5615","P O Box 1007","718 Landfill Road","Plymouth","NC","27962","Washington","CD","LF","9404-CDLF-1996","Washington County C&D Landfill","Active","Mr. Danny Reynolds","(252) 793-5615","P O Box 1007","718 Landfill Road","Plymouth","NC","27962"
"460B South Landfill Road","35.2889932","-78.070028","Wayne","CD","LF*","9601-CDLF-1997","Wayne County CDLF","Active","Mr. Tim Rogers","(919) 689-2994","460B South Landfill Road",NA,"Dudley","NC","28333","Wayne","CD","LF*","9601-CDLF-1997","Wayne County CDLF","Active","Mr. Tim Rogers","(919) 689-2994","460B South Landfill Road",NA,"Dudley","NC","28333"
"2400 NC Hwy 42 East","34.2053828","-78.8285512","Wilson","CD","LF","9809-CDLF-2004","Wilson County Westside C&D Landfill","Active","Mr. Andy Davis","(252) 399-2823","PO Box 1728","2400 NC Hwy 42 East","Wilson","NC","27894","Wilson","CD","LF","9809-CDLF-2004","Wilson County Westside C&D Landfill","Active","Mr. Andy Davis","(252) 399-2823","PO Box 1728","2400 NC Hwy 42 East","Wilson","NC","27894"
"172 Landfill Rd NE","34.04426","-78.2562","Brunswick","CD","LF*","1007-CDLF-1997","Brunswick County CDLF","Active","Mr. Jeremy Baker","(910) 253-6314","PO Box 249","172 Landfill Rd NE","Bolivia","NC","28422","Brunswick","CD","LF*","1007-CDLF-1997","Brunswick County CDLF","Active","Mr. Jeremy Baker","(910) 253-6314","PO Box 249","172 Landfill Rd NE","Bolivia","NC","28422"
"40592b Stony Gap Road","35.31502","-80.15286","Stanly","CD","LF*","8401-CDLF-1997","Albemarle, City of CDLF","Active","Mr. Darren Preslar","(704) 984-9680","PO Box 190","40592b Stony Gap Road","Albemarle","NC","28002-0190","Stanly","CD","LF*","8401-CDLF-1997","Albemarle, City of CDLF","Active","Mr. Darren Preslar","(704) 984-9680","PO Box 190","40592b Stony Gap Road","Albemarle","NC","28002-0190"
